name,key,description,member_labels,member_label_groups,fully_expanded_members,href
SS_MC-LGA,app,Label group for shared services in Monaco perimeter,,,,/orgs/1/sec_policy/draft/label_groups/39182d2a-cf09-48a5-b292-ea4be2d16e6e
WORKLOADS_GCR-LGA,app,Label group for all GCR applications + core services + Shared services + Mutualized + Citrix VDI,,SS_GCR-LGA;AP_GTS-LGA;MUT_GCR-LGA;CTX_GCR-LGA;AP_GCR-LGA;CS_GCR-LGA,CSM_RBD_SEC.ACS.OFP_ALL; APM_L1.GBTO_HIGHWAY; CSM_GTS_IAS.SBS.LINUX; CTX_GCR_SITI-AG; AP_GCR_KYC; APM_L1.GBTO_EOLE.ALISE.GATE.L1; AP_GCR_B2CH_OLD; CSM_NET_FRA.PEPSY.ROUGE.DHCP; APM_GTS_DWS.WKS.FR; MUT_GCR_TIBBW; CSU_STO_NFS.SYS.USER_ALL; CSM_RBD_CYBERARK.STANDARD.FRA.GTS; APM_L1.SGRF_ETECE; AP_GCR_GP3_OLD; APM_L1.GBTO_REPLAY; CSM_RBD_CYBERARK.STANDARD.UK.GTS; CSM_NET_DHCP.NDQ.GSC; CSM_RBD_CYBERARK.MVS.ADMIN; CSM_RBD_PAS.BDT_ALL; AP_GCR_RNE; AP_GCR_NXS; AP_GCR_IDT; AP_GCR_APD; CSM_DEP_FRA.SCCM.CORP; CSM_RBD_CYBERARK.STANDARD.FRA.BUSU; SS_LB_CLOUD_SGSS_GCR; AP_GTS_TIB; APM_GTS.SEC.DSS_VARONIS.ITIM; AP_GCR_MTX; AP_GCR_GCA; APM_L1.GBTO_ELIOT.L1; APM_GCR_SIB; APM_L1.SGRF_MCF.L1; SS_ITECARC_XLDEPLOY_GCR; MUT_GCR_MQ; CTX_GCR_COMMON_DESKTOP-AG; AP_GCR_TPR; CSM_RBD_IAS.WINDOWS_ALL; AP_GCR_DFP; APM_L1.SGRF_CRISTAL.PFP.ELAPS; SS_BASTION_PAACTWIN_GCR; AP_GTS_NTS; CTX_GCR_BCA; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR.IAAS; CSM_SEC_SGCONNECT.L1; CSM_RBD_CYBERARK.STANDARD.GSC.GTS; CSM_SEC_SEPM.GSC; CSM_RBD_SEC.ACS.OUD_ALL; APM_GTS.SEC.SCS_PKC; APM_GCR_PTF; APM_GCR_M1F; CSM_GTS_FRA.NDG.MASTERING.INFRA; CSM_RBD_CYBERARK.STANDARD.UK.BUSU; CSM_RBD_CYBERARK.STANDARD.ASIA.GTS; APM_GTS_CYBERARK.YOGA.MAINFRAME; CTX_GCR_NGC; AP_GCR_GDT; APT_SDS_NONPRD; AP_GCR_PEA; AP_GCR_NGC; CSM_RBD_IAS.LINUX_ALL; CSM_SEC_SEPM.WW; CSM_RBD_SEC.ACS.LDD_ALL; CSM_RBD_PAS.DVF_ALL; AP_GCR_SOX; CSM_RBD_CYBERARK.STANDARD.ASIA.BUSU; MUT_GCR_ORACLE; AP_GCR_ENT; APM_L1.GBTO_LOAN.IQ; CSM_RBD_CYBERARK.STANDARD.GSC.BUSU; AP_GTS_A2S; APM_GTS_DWS.FR; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR; CTX_GCR_ONE; CSM_RBD_CYBERARK.PREMIUM.SABA.GTS; APM_GTS.SEC.STS_ILU; APM_L3.GTS.EUR_ILLUMIO.SM.L3; APM_GTS_AIX.INFRA.SERVER.IAS.SYS; CSM_BCK_FRA.NETWORKER; APM_GTS.SEC.DSS_VARONIS.EMEA; CTX_GCR_BIR; AP_GCR_SLA; AP_GCR_DRW; AP_GCR_CTG; AP_GCR_CPL; APM_GCR_OIB; APM_L1.GBTO_GL.APF.L1; APM_GTS_LUIGI.DWF.MIGRATION.FACTORY; APM_GTS_AD.REMDIATION.PATH; APM_GTS.SEC.SCS_PKC.IAAS; CSM_BCK_FRA.NETWORKER.GSC; CSM_RBD_CYBERARK.PREMIUM.SABA.BUSU; AP_GCR_GP3; APM_L3.GBTO_CASH.EUROPE; CSM_RBD_IAS.AIX_ALL; CST_DEP_HPSA_ALL_EAO-A7010-PRD.A7010; APM_GTS.SEC.STS_MYFLOWS; APM_L1.GBTO_X.ONE.L1; APM_GCR_PFI; CSU_MON_ZABBIX_ALL; CSM_RBD_OPM.MOS_ALL; APM_GTS.SEC.DSS_VARONIS.CORP; AP_GCR_BCTA_OLD,/orgs/1/sec_policy/draft/label_groups/2eca67c8-27cf-496e-ad7c-d73728e9833a
WORKLOADS_IAS.WINDOWS-LGA,app,"Label Group Containing all Windows IAS Infra servers (Rebounds, Admin..)",,,,/orgs/1/sec_policy/draft/label_groups/ec1fda5b-db6f-43a8-aa63-5203f3dd07b6
KPI_PROGRAM_RECO.13.HARDENING.GTS.FR-LGA,app,Applications initially onboarded in HARDENING GTS than moved to RECO13,APM_GTS_CG.FRA.AUTOSYS; APM_GTS_CG.CITRIX.ACCESS.CHAIN; APM_GTS_CG.FRA.AUTOSYS.IAAS,,APM_GTS_CG.FRA.AUTOSYS; APM_GTS_CG.CITRIX.ACCESS.CHAIN; APM_GTS_CG.FRA.AUTOSYS.IAAS,/orgs/1/sec_policy/draft/label_groups/0172f23b-7a07-4f81-bf9e-e0e8cb8b627b
CSM_AMER.USA-LGA,app,,SSM_RBD_CYBERARK.AMER; CSM_ADMIN_IAS.LINUX_ALL; CSM_RBD_IAS.WINDOWS_ALL,,SSM_RBD_CYBERARK.AMER; CSM_ADMIN_IAS.LINUX_ALL; CSM_RBD_IAS.WINDOWS_ALL,/orgs/1/sec_policy/draft/label_groups/70751e8c-114d-4b9c-bfee-65b9ecdee05f
SS_GCR-LGA,app,Shared Services label group,SS_BASTION_PAACTWIN_GCR; SS_LB_CLOUD_SGSS_GCR; SS_ITECARC_XLDEPLOY_GCR,SS_ALL-LGA,SS_BASTION_PAACTWIN_GCR; SS_LB_CLOUD_SGSS_GCR; SS_ITECARC_XLDEPLOY_GCR,/orgs/1/sec_policy/draft/label_groups/fc3502b5-6c73-422a-993d-455395463e91
L3.NSAL3P.GTS.HSM.DATA.EXTERNAL-LGA,app,,APM_L3.NSAL3P.GTS.DATA.EXTERNAL_KMP.AGENTLESS; APM_L3.NSAL3P.GTS.DATA.EXTERNAL_KMP,,APM_L3.NSAL3P.GTS.DATA.EXTERNAL_KMP.AGENTLESS; APM_L3.NSAL3P.GTS.DATA.EXTERNAL_KMP,/orgs/1/sec_policy/draft/label_groups/7a29f1b7-41bb-4496-aa68-bc046afe8435
KPI_PROGRAM_BCE.RECO.8.CHR.HARIBO-LGA,app,"LG for Less sensitive / Critical Highly Regulated Applications, also part of HARIBO Program",APM_L1.GBTO_CHR.GP4; APM_L1.GBTO_CHR.GP4.IAAS,,APM_L1.GBTO_CHR.GP4; APM_L1.GBTO_CHR.GP4.IAAS,/orgs/1/sec_policy/draft/label_groups/8b33862f-826e-46a1-9bef-ffe13d3d5f1b
APPGROUP_BCE.RECO.13-LGA,app,,APM_L3.SABA.IAS.NORTH_IAS.CTS.HPS.NORTH; CSM_L3.SABA.IAS_SABA.IAS.CTS.HPS.AK754; APM_L3.SABA.GBTO_CG.SABA.GBTO.REPLAY; CSM_L3.SABA.GTS.ADMIN.TOOLS_SABA.PAS.DRE.GREEN.AK703; APM_L3.SABA.GTS_SABA.SEC.VAU.AK715; APM_L3.SABA.IAS.ASIA_SABA.IAS.ASIA.SBS.A7797; APM_L3.SABA.EUR.CYBERARK.TOOLS_SABA.EUR.CYBERARK.TOOLS.A7099; APM_L3.SABA.GBTO_CG.SABA.GBTO.REPLAY.IAAS,,APM_L3.SABA.GBTO_CG.SABA.GBTO.REPLAY.IAAS; APM_L3.SABA.IAS.NORTH_IAS.CTS.HPS.NORTH; CSM_L3.SABA.IAS_SABA.IAS.CTS.HPS.AK754; APM_L3.SABA.GBTO_CG.SABA.GBTO.REPLAY; CSM_L3.SABA.GTS.ADMIN.TOOLS_SABA.PAS.DRE.GREEN.AK703; APM_L3.SABA.GTS_SABA.SEC.VAU.AK715; APM_L3.SABA.IAS.ASIA_SABA.IAS.ASIA.SBS.A7797; APM_L3.SABA.EUR.CYBERARK.TOOLS_SABA.EUR.CYBERARK.TOOLS.A7099,/orgs/1/sec_policy/draft/label_groups/177c8141-e5f4-4ab2-b91f-effc5a7385c9
KPI_PROGRAM_BCE.RECO.8.CG-LGA,app,KPI Label Group for applications onboraded in context of BCE Recommendation 8.1,APM_L3.SANA.NSAL3P.BSC.DMZ.RTFE.API_SANA.RTFE.API; APM_CFT_CHR.AIMS.GEN1; APM_L3.SGRF.EUR_CG.CFT.CFY; APM_L1.GBTO_CG.L1.BAD.SST; APM_CFT_CHR.TALKS; APM_L1.SGRF_GRC.L1; APM_L1.SGRF_COLOSS.FBI; APM_L1.SGRF_COLOSS.ECX; APM_L1.SGRF_COLOSS.COL; APM_L1.SGRF_BASYLIQ.TCT; APM_L1.SGRF_BASYLIQ.BYQ; APM_L1.SGRF_BASYLIQ.BBC; APM_L1.GBTO_SORA; APM_L1.GBTO_GSP.T2S; APM_L1.GBTO_E.SETTLEMENT; APM_L1.GBTO_E.FUND.ORDER; APM_L1.GBTO_CBR; APM_L3.SGRF_COLOSS; APM_L3.GTS.EUR_CG.VAULT.RP.GTS; APM_L3.GBTO.EUR_CG.MUREX; APM_L3.SGRF_SAFIR.CREDIT.RISK; APM_L3.SGRF_SATIS; APM_L1.GBTO_BDR; APM_L1.SGRF_CDM.DFIN; APM_L3.GBTO.EUR_CG.MAESTRO; APM_L1.GBTO_MONTRAN; APM_L1.GBTO_ELIOT.L1; APM_L3.SGRF.EUR_CG.GED.GCB; APM_L1.SGRF_VIREMENTS.UNIFIES; APM_L1.SGRF_SGTALK.SGT.L1; APM_L1.SGRF_SGTALK.VOX.L1; APM_L1.GBTO_LOAN.IQ; APM_L1.GBTO_HIGHWAY; APM_L1.GBTO_REPLAY; APM_L3.GBTO_CASH.EUROPE; APM_L1.SGRF_GED.GBQ; APM_L1.SGRF_GED.GBA; APM_L1.SGRF_GED.IGB; APM_L1.SGRF_GED.GBX; APM_L1.SGRF_GED.ACV.L1; APM_L1.DDS.EUR_CG.SMARTPROXY; APM_L3.SWIFT.AMER_CG.SWIFT.ALLIANCE.US; APM_L3.SGRF.EUR_CG.SGTALK.VOX.EXPOSED; APM_L3.SGRF.EUR_CG.SGTALK.SGT.EXPOSED; APM_L3.SGRF.EUR_CG.SGTALK.MNR.EXPOSED; APM_L3.SGRF.EUR_CG.SGTALK.DIG.EXPOSED; APM_L3.NSAL3P.BSC.DMZ.DC2.RTFE_CG.RTFE.DC2; APM_L3.NSAL3P.BSC.DMZ.SC2.RTFE_CG.RTFE.SC2; APM_L3.NSAL3P.BSC.DMZ.SC2.RTFE_CG.RTFE.SC2.EXPOSED; APM_L3.NSAL3P.BSC.DMZ.DC2.RTFE_CG.RTFE.DC2.EXPOSED; APM_L1.SGRF_SAFIR.CREDIT.RISK.L1; SSM_GTS_CG.FRA.WEBSPHERE; APM_L3.SWIFT.EUR_CG.SWIFT.SCS; APM_L3.SWIFT.EUR_CG.SWIFT.INTIX; APM_L3.SABA.GBTO_CG.SABA.GL.APF; APM_L3.NSAL3P.BSC.GTS_CG.VAULT.RP; APM_L3.SGRF.EUR_CG.NRG; APM_L3.GTS.EUR_FRA-CONTROLM; APM_GTS_CG.NEWFED; APM_CTX_FRA.CTX.WORKER.LOAN.IQ; CSM_CTX_FRA.CTX.PUBLISHED.DESKTOP; APM_CTX_FRA.CTX.WORKER.BDR; APM_L1.SGRF_GED.ACA.L1; APM_L3.SGRF.EUR_CG.NAUPLIE; APM_L1.SGRF_SGTALK.DIG.L1; APM_L1.SGRF_SGTALK.MNR.L1; APM_L1.GBTO_GL.APF.L1; APM_L3.SGRF.EUR_CG.GRC; AP_RCR_GED.GCG; APM_L1.GBTO_BACARDI; APM_L1.SGRF_NOSICA; APM_L3.BSC_VAULT.RP; APM_L3.CRYPTO_FRA.PKI; APM_L3.GBTO.EUR_CG.BACARDI; APM_L3.GBTO.EUR_CG.BDR; APM_L3.GBTO.EUR_CASH.EUROPE; APM_L3.GBTO.EUR_CG.CBR; APM_L3.GBTO.EUR_CG.E.FUND.ORDER; APM_L3.GBTO_E.SETTLEMENT; APM_L3.GBTO.EUR_CG.ELIOT.EUR; APM_L3.GBTO.EUR_CG.GL.APF; APM_L3.GBTO.EUR_CG.GSP.T2S; APM_L3.GBTO.EUR_CG.HIGHWAY.L3.GBTO.EUR; APM_L3.GBTO.EUR_CG.LOAN.IQ; APM_L3.GBTO.AMER_CG.MONTRAN; APM_L3.GBTO.EUR_CG.REPLAY; APM_L3.GBTO_SATIS; APM_L3.GBTO.EUR_CG.SORA; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC; APM_L3.SGRF.EUR_CG.BASYLIQ.BYQ; APM_L3.SGRF_BASYLIQ.TCT; APM_L3.SGRF.EUR_CG.CDM.DFIN; APM_L3.SGRF.EUR_CG.COLOSS.ECX; APM_L3.SGRF_COLOSS.COL; APM_L3.SGRF.EUR_CG.COLOSS.FBI; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG; APM_L3.SGRF.EUR_FTAAS.L3.SGRF; APM_L3.SGRF.EUR_CG.GED.ACA; APM_L3.SGRF.EUR_CG.GED.ACV; APM_L3.SGRF.EUR_CG.GED.GBA; APM_L3.SGRF.EUR_CG.GED.GBQ; APM_L3.SGRF.EUR_CG.GED.GBX; APM_L3.SGRF.EUR_CG.GED.IGB; APM_L3.SGRF.EUR_CG.NOSICA; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK; APM_L3.SGRF_URTA; APM_L3.SGRF.EUR_CG.VIREMENTS.UNIFIES; APM_L3.SWIFT.EUR_CG.SWIFT.SAG; APM_L3.SWIFT.EUR_CG.SWIFT.SFAP; APM_L3.SWIFT.EUR_CG.SWIFT.STARS; APM_L3.SWIFT.EUR_CG.SWIFT.SWING; APM_L1.SWIFT_SWIFT.STARS.L1; APM_L1.SWIFT_SWIFT.SWING.L1; APM_L1.SWIFT_SFAP; APM_L1.SWIFT_SAG; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERL; APM_L3.GBTO.ASIA_CG.ELIOT.ASIA; APM_L3.GBTO.AMER_CG.ELIOT.AMER; APM_L3.SGRF.EUR_CG.SATIS.L3.SGRF; APM_L3.GBTO.EUR_CG.SATIS.L3.GBTO; APM_L3.GBTO.EUR_CG.SGCONNECT.L3; APM_L3.GBTO.EUR_CG.E.SETTLEMENT; APM_L3.FIGARO.EUR_CG.FIGARO; APM_L3.GBTO.AMER_CG.X.ONE.AMER; APM_L3.HP.EUR_CG.HIGHWAY.L3.HP; APM_L3.LENOVO.EUR_CG.HIGHWAY.L3.LENOVO.EUR; APM_L3.SGRF.EUR_CG.CASH.EUROPE; APM_L3.SGRF.EUR_CG.COLOSS.COL; APM_L3.SGRF.EUR_CG.SGTALK.DIG; APM_L3.SGRF.EUR_CG.SGTALK.MNR; APM_L3.SGRF.EUR_CG.SGTALK.SGT; APM_L3.SGRF.EUR_CG.SGTALK.VOX; APM_L3.FIGARO.EUR_CG.FIGARO.IRSA; APM_L3.GBTO.EUR_FTAAS.L3.GBTO; APM_L3.SGRF.EUR_CG.GED.GCG; APM_L3.DTZONE.EUR.FRONT.MARCOUSSIS_CG.SGCONNECT.DTZONE.FRONT.MARCOUSSIS; APM_L3.DTZONE.EUR.BACK.PANTIN_CG.SGCONNECT.DTZONE.BACK.PANTIN; APM_L3.DTZONE.EUR.FRONT.PANTIN_CG.SGCONNECT.DTZONE.FRONT.PANTIN; APM_L3.DTZONE.EUR.BACK.MARCOUSSIS_CG.SGCONNECT.DTZONE.BACK.MARCOUSSIS; APM_L3.SWIFT.EUR_CG.SWIFT.AGI; APM_L3.SWIFT.EUR_CG.SWIFT.AWP; APM_L3.SWIFT.EUR_CG.SWIFT.MIW; APM_L1.GBTO_CG.L1.BAD.BSS; APM_GTS_CG.FRA.FTR; APM_CTX_FRA.CTX.WORKER.XONE; APM_CTX_FRA.CTX.WORKER.ELIOT; APM_CTX_FRA.CTX.WORKER.ERG; APM_GTS.AMER_CG.AUTOSYS.AMER; APM_L3.SANA.DMZ.RTFE.TOOLING.AUTHENT.ISE_SANA.RTFE.TOOLING; APM_L3.GBTO.EUR_CG.GSP.T2S.IAAS; APM_L3.GBTO.EUR_CG.ELIOT.EUR.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.COL.IAAS; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG.IAAS; APM_L3.GBTO.EUR_CG.GL.APF.IAAS; APM_L3.GBTO.EUR_CG.SORA.IAAS; APM_L3.GBTO.EUR_CG.MUREX.IAAS; APM_L3.GBTO.EUR_CG.E.FUND.ORDER.IAAS; APM_L3.GBTO.EUR_CG.E.SETTLEMENT.IAAS; APM_L3.GBTO.EUR_CG.BACARDI.IAAS; APM_L3.SGRF.EUR_CG.GED.GBQ.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.ECX.IAAS; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK.IAAS; APM_L3.GBTO.EUR_CG.BDR.IAAS; APM_L3.GBTO.EUR_CG.CBR.IAAS; APM_L3.SGRF.EUR_CG.NOSICA.IAAS; APM_CFT_CHR.TALKS.IAAS; APM_L3.SGRF.EUR_CG.SATIS.L3.SGRF.IAAS; APM_L3.GBTO.AMER_CG.X.ONE.AMER.IAAS; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC.IAAS; APM_L3.SGRF.EUR_CG.GED.GBX.IAAS; APM_L3.SGRF.EUR_CG.GED.IGB.IAAS; APM_RBS_CREDIT360.IAAS; APM_L3.GBTO.EUR_CG.LOAN.IQ.IAAS; APM_L3.GBTO.EUR_CG.MAESTRO.IAAS; APM_L3.SGRF.EUR_CG.CASH.EUROPE.IAAS; APM_L3.SGRF.EUR_CG.SGTALK.VOX.TEST,,APM_L3.GBTO.EUR_CG.HIGHWAY.L3.GBTO.EUR; APM_L3.SWIFT.EUR_CG.SWIFT.SWING; APM_L3.SGRF.EUR_CG.GED.GCG; APM_L3.DTZONE.EUR.BACK.MARCOUSSIS_CG.SGCONNECT.DTZONE.BACK.MARCOUSSIS; APM_L3.GBTO.EUR_CG.LOAN.IQ.IAAS; APM_CFT_CHR.AIMS.GEN1; APM_L1.GBTO_GSP.T2S; APM_L1.GBTO_E.FUND.ORDER; APM_L3.GBTO.EUR_CG.MUREX; APM_L3.NSAL3P.BSC.DMZ.DC2.RTFE_CG.RTFE.DC2; APM_L3.SGRF.EUR_CG.NRG; APM_L1.SGRF_NOSICA; APM_L3.GBTO.EUR_CG.E.SETTLEMENT; APM_L1.SGRF_COLOSS.FBI; APM_L1.SGRF_BASYLIQ.BBC; APM_CTX_FRA.CTX.WORKER.BDR; APM_L3.GBTO.EUR_CG.BDR.IAAS; APM_L1.SGRF_GED.GBX; APM_L3.NSAL3P.BSC.DMZ.SC2.RTFE_CG.RTFE.SC2; APM_L3.SGRF.EUR_CG.NAUPLIE; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERL; APM_L3.GTS.EUR_CG.VAULT.RP.GTS; APM_L1.DDS.EUR_CG.SMARTPROXY; APM_L1.SGRF_GED.ACA.L1; APM_L3.SGRF_BASYLIQ.TCT; APM_L3.SGRF.EUR_CG.GED.ACA; APM_L3.GBTO.EUR_CG.CBR.IAAS; APM_L3.SGRF.EUR_CG.GED.GBX.IAAS; APM_L3.SGRF.EUR_CG.GED.GCB; APM_L3.GBTO_CASH.EUROPE; APM_L1.GBTO_GL.APF.L1; APM_L3.CRYPTO_FRA.PKI; APM_L3.SGRF.EUR_CG.SATIS.L3.SGRF; APM_L3.SGRF.EUR_CG.GED.GBQ.IAAS; APM_L3.NSAL3P.BSC.DMZ.DC2.RTFE_CG.RTFE.DC2.EXPOSED; APM_L3.GBTO_E.SETTLEMENT; APM_L3.SGRF.EUR_CG.COLOSS.FBI; APM_L3.SWIFT.EUR_CG.SWIFT.SFAP; APM_CTX_FRA.CTX.WORKER.ELIOT; APM_L3.GBTO.EUR_CG.ELIOT.EUR.IAAS; APM_L3.SGRF.EUR_CG.NOSICA.IAAS; APM_L3.NSAL3P.BSC.GTS_CG.VAULT.RP; APM_L3.GBTO.EUR_CG.GL.APF; APM_CTX_FRA.CTX.WORKER.LOAN.IQ; APM_L3.SGRF.EUR_CG.GED.IGB.IAAS; APM_L1.SGRF_BASYLIQ.BYQ; SSM_GTS_CG.FRA.WEBSPHERE; APM_GTS_CG.NEWFED; APM_L3.SGRF.EUR_CG.CASH.EUROPE; APM_L3.FIGARO.EUR_CG.FIGARO.IRSA; APM_L1.SGRF_GED.ACV.L1; APM_L3.GBTO.EUR_CG.SGCONNECT.L3; APM_GTS_CG.FRA.FTR; APM_CTX_FRA.CTX.WORKER.XONE; APM_L1.SGRF_COLOSS.COL; APM_L1.SGRF_BASYLIQ.TCT; APM_L3.GBTO.EUR_CG.MAESTRO; APM_L3.SGRF.EUR_FTAAS.L3.SGRF; APM_L3.LENOVO.EUR_CG.HIGHWAY.L3.LENOVO.EUR; APM_L3.GBTO.EUR_CG.MAESTRO.IAAS; APM_L1.GBTO_CG.L1.BAD.SST; APM_L1.GBTO_SORA; APM_L1.GBTO_MONTRAN; APM_L1.GBTO_ELIOT.L1; APM_L1.SGRF_SGTALK.MNR.L1; APM_GTS.AMER_CG.AUTOSYS.AMER; APM_L3.SGRF.EUR_CG.COLOSS.COL.IAAS; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG.IAAS; APM_L3.GBTO.EUR_CG.GL.APF.IAAS; APM_L1.GBTO_REPLAY; APM_L3.SGRF.EUR_CG.SGTALK.SGT.EXPOSED; APM_L3.SGRF.EUR_CG.SGTALK.MNR.EXPOSED; APM_L3.NSAL3P.BSC.DMZ.SC2.RTFE_CG.RTFE.SC2.EXPOSED; CSM_CTX_FRA.CTX.PUBLISHED.DESKTOP; APM_L3.GBTO.EUR_CG.BDR; APM_L3.SGRF.EUR_CG.GED.GBX; APM_L3.SWIFT.EUR_CG.SWIFT.AWP; APM_L1.GBTO_CBR; APM_L1.SGRF_GED.GBA; APM_L1.GBTO_CG.L1.BAD.BSS; APM_L1.GBTO_HIGHWAY; APM_L1.SGRF_SAFIR.CREDIT.RISK.L1; APM_L3.SABA.GBTO_CG.SABA.GL.APF; APM_L3.SGRF.EUR_CG.BASYLIQ.BYQ; APM_L3.SGRF.EUR_CG.GED.ACV; APM_L3.SGRF.EUR_CG.GED.GBA; APM_L1.SWIFT_SWIFT.SWING.L1; APM_L3.DTZONE.EUR.BACK.PANTIN_CG.SGCONNECT.DTZONE.BACK.PANTIN; APM_L3.SWIFT.EUR_CG.SWIFT.AGI; APM_RBS_CREDIT360.IAAS; APM_CFT_CHR.TALKS; APM_L3.SGRF.EUR_CG.SGTALK.VOX.EXPOSED; APM_L3.GBTO.EUR_CG.E.SETTLEMENT.IAAS; APM_L3.SGRF.EUR_CG.COLOSS.ECX.IAAS; APM_L3.SGRF_COLOSS; APM_L1.GBTO_BDR; APM_L3.GBTO.EUR_CASH.EUROPE; APM_L3.GBTO.EUR_CG.BACARDI.IAAS; APM_L1.GBTO_LOAN.IQ; APM_L1.SGRF_SGTALK.DIG.L1; APM_L3.GBTO.EUR_CG.GSP.T2S; APM_L3.SGRF.EUR_CG.SGTALK.VOX; APM_L3.GBTO.EUR_CG.E.FUND.ORDER.IAAS; APM_L3.SGRF_SATIS; APM_L3.SWIFT.EUR_CG.SWIFT.STARS; APM_L3.GBTO.AMER_CG.ELIOT.AMER; APM_L3.SGRF.EUR_CG.SGTALK.MNR; APM_L3.SGRF.EUR_CG.SGTALK.SGT; APM_L3.BSC_VAULT.RP; APM_L3.GBTO.AMER_CG.MONTRAN; APM_L3.SGRF.EUR_CG.GED.GBQ; APM_L3.SGRF.EUR_CG.GED.IGB; APM_L3.GBTO.AMER_CG.X.ONE.AMER.IAAS; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC.IAAS; AP_RCR_GED.GCG; APM_L3.GBTO.EUR_CG.ELIOT.EUR; APM_L3.SGRF_SAFIR.CREDIT.RISK; APM_L1.SGRF_SGTALK.VOX.L1; APM_L3.SWIFT.EUR_CG.SWIFT.INTIX; APM_L3.GBTO.ASIA_CG.ELIOT.ASIA; APM_L3.GBTO.EUR_CG.SORA.IAAS; APM_L3.SANA.NSAL3P.BSC.DMZ.RTFE.API_SANA.RTFE.API; APM_L1.SGRF_SGTALK.SGT.L1; APM_L3.SGRF.EUR_CG.SGTALK.DIG.EXPOSED; APM_L3.GBTO_SATIS; APM_L3.SGRF.EUR_CG.BASYLIQ.BBC; APM_L3.GBTO.EUR_FTAAS.L3.GBTO; APM_L3.SWIFT.EUR_CG.SWIFT.SCS; APM_L3.GTS.EUR_FRA-CONTROLM; APM_L3.GBTO.EUR_CG.BACARDI; APM_L3.GBTO.EUR_CG.CBR; APM_L3.GBTO.EUR_CG.REPLAY; APM_L3.SWIFT.EUR_CG.SWIFT.SAG; APM_L1.SWIFT_SFAP; APM_CTX_FRA.CTX.WORKER.ERG; APM_L3.SANA.DMZ.RTFE.TOOLING.AUTHENT.ISE_SANA.RTFE.TOOLING; APM_L3.SGRF.EUR_CG.SATIS.L3.SGRF.IAAS; APM_L3.SGRF.EUR_CG.GRC; APM_L3.SGRF_URTA; APM_L3.GBTO.EUR_CG.SORA; APM_L3.SGRF.EUR_CG.NOSICA; APM_CFT_CHR.TALKS.IAAS; APM_L3.SGRF.EUR_CG.SGTALK.VOX.TEST; APM_L1.SGRF_COLOSS.ECX; APM_L1.SGRF_CDM.DFIN; APM_L1.SGRF_GED.GBQ; APM_L3.SGRF.EUR_CG.COLOSS.ECX; APM_L3.SGRF.EUR_CG.ERG.EVOLAN.ERG; APM_L3.SGRF.EUR_CG.VIREMENTS.UNIFIES; APM_L1.SWIFT_SAG; APM_L3.GBTO.AMER_CG.X.ONE.AMER; APM_L3.SGRF.EUR_CG.CFT.CFY; APM_L1.SWIFT_SWIFT.STARS.L1; APM_L3.DTZONE.EUR.FRONT.PANTIN_CG.SGCONNECT.DTZONE.FRONT.PANTIN; APM_L3.GBTO.EUR_CG.MUREX.IAAS; APM_L1.SGRF_GED.IGB; APM_L3.SWIFT.AMER_CG.SWIFT.ALLIANCE.US; APM_L1.GBTO_BACARDI; APM_L3.GBTO.EUR_CG.LOAN.IQ; APM_L3.SGRF.EUR_CG.CDM.DFIN; APM_L3.GBTO.EUR_CG.SATIS.L3.GBTO; APM_L3.HP.EUR_CG.HIGHWAY.L3.HP; APM_L3.DTZONE.EUR.FRONT.MARCOUSSIS_CG.SGCONNECT.DTZONE.FRONT.MARCOUSSIS; APM_L1.GBTO_E.SETTLEMENT; APM_L1.SGRF_VIREMENTS.UNIFIES; APM_L3.SGRF_COLOSS.COL; APM_L3.FIGARO.EUR_CG.FIGARO; APM_L3.SWIFT.EUR_CG.SWIFT.MIW; APM_L3.GBTO.EUR_CG.GSP.T2S.IAAS; APM_L3.SGRF.EUR_CG.CASH.EUROPE.IAAS; APM_L1.SGRF_GRC.L1; APM_L3.GBTO.EUR_CG.E.FUND.ORDER; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK; APM_L3.SGRF.EUR_CG.COLOSS.COL; APM_L3.SGRF.EUR_CG.SGTALK.DIG; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK.IAAS,/orgs/1/sec_policy/draft/label_groups/10f6a543-46f9-43a9-b1d0-2d0490d4a9b6
