ruleset_name;ruleset_description;ruleset_scope;ruleset_enabled;rule_description;rule_enabled;unscoped_consumers;consumer_all_workloads;consumer_labels;consumer_label_groups;consumer_iplists;consumer_user_groups;consumer_workloads;consumer_virtual_services;consumer_use_workload_subnets;provider_all_workloads;provider_labels;provider_label_groups;provider_iplists;provider_workloads;provider_virtual_services;provider_virtual_servers;provider_use_workload_subnets;services;consumer_resolve_labels_as;provider_resolve_labels_as;machine_auth_enabled;secure_connect_enabled;stateless_enabled;network_type;ruleset_href;rule_href;update_type;Column1
CSM_GTS_CG.FRA.WEBSPHERE-PRD-RS;;"app:SSM_GTS_CG.FRA.WEBSPHERE;env:PRD";TRUE;"Flow needs to be opened for Cash Payment generation , Treasury announcement, Settlement Accounting for MARK & GLBA perimeter and some GTPS scope.

SR: 758297587";TRUE;TRUE;FALSE;"app:APM_GCR_CLS.CONTROL.BRANCH;role:BATCH;env:PRD";;;;;;FALSE;FALSE;role:CORE;;;;;;FALSE;1415 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/10679;/orgs/1/sec_policy/draft/rule_sets/10679/sec_rules/103694;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-OUTBOUND2APA-UAT-RS;;;TRUE;;TRUE;FALSE;FALSE;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT;role:BATCH";;;;;;FALSE;FALSE;"app:APA_CLS_5351;env:NONPRD";;;;;;FALSE;1522 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/10063;/orgs/1/sec_policy/draft/rule_sets/10063/sec_rules/90539;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-OUTBOUND2APA-UAT-RS;;;TRUE;;TRUE;FALSE;FALSE;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT;role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;"app:APM_GCR_SRG.BIR;env:UAT";;;;;;FALSE;22 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/10063;/orgs/1/sec_policy/draft/rule_sets/10063/sec_rules/90537;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-OUTBOUND2APA-UAT-RS;;;TRUE;;TRUE;FALSE;FALSE;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT;role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;"env:PRD;app:APA_IAS_SCE";;;;;;FALSE;1858 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/10063;/orgs/1/sec_policy/draft/rule_sets/10063/sec_rules/90535;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-OUTBOUND2APA-UAT-RS;;;TRUE;;TRUE;FALSE;FALSE;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT;role:BATCH;role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;"app:APA_GCR_GTSMO;env:PRD";;;;;;FALSE;9988 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/10063;/orgs/1/sec_policy/draft/rule_sets/10063/sec_rules/90533;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-OUTBOUND2APA-UAT-RS;;;TRUE;;TRUE;FALSE;FALSE;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT;role:BATCH";;;;;;FALSE;FALSE;"env:NONPRD;app:APA_IAS_ONE";;;;;;FALSE;1420 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/10063;/orgs/1/sec_policy/draft/rule_sets/10063/sec_rules/90531;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;Cyberark Flow;TRUE;TRUE;FALSE;"app:APA_IAS_ACG;env:PRD";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;22 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/101855;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;TRUE;;;;;;;FALSE;TRUE;;;;;;;FALSE;All Services;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/92768;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;;;U_FR_SGADM_LAPTOP-IPL;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;22 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91967;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;role:DB.ORA.GEN1;;;;;;FALSE;FALSE;;;SS_AUTH_PASSWORD.VAULT-PRD-IPL;;;;FALSE;1858 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91831;;KEEP
